DATE,Case-ShillerHPI,CPI,FEDFUNDS,Monthly Real GDP Index,MORTGAGE30US,Population(thousands),S&P500 Close,UNRATE,DIncome
2018-11-01,205.66099999999997,252.594,2.2,20302.793,4.866,329527.0,2760.169921875,3.8,46476.0
2018-12-01,206.148,252.767,2.27,20323.895,4.6375,329659.0,2506.85009765625,3.9,47038.0
2019-01-01,206.539,252.561,2.4,20425.896,4.464,329766.0,2704.10009765625,4.0,47008.0
2019-02-01,206.864,253.319,2.4,20401.655,4.37,329862.0,2784.489990234375,3.8,47152.0
2019-03-01,207.086,254.277,2.41,20417.911,4.265,329977.0,2834.39990234375,3.8,47182.0
2019-04-01,207.537,255.233,2.42,20504.123,4.1425,330103.0,2945.830078125,3.7,47029.0
2019-05-01,208.151,255.296,2.39,20569.638,4.072,330240.0,2752.06005859375,3.6,46995.0
2019-06-01,208.643,255.213,2.38,20679.855,3.8025,330393.0,2941.760009765625,3.6,47054.0
2019-07-01,209.249,255.802,2.4,20775.616,3.765,330553.0,2980.3798828125,3.7,47090.0
2019-08-01,210.029,256.036,2.13,20818.998,3.616,330729.0,2926.4599609375,3.6,47332.0
2019-09-01,210.85,256.43,2.04,20858.16,3.605,330904.0,2976.739990234375,3.5,47419.0
2019-10-01,211.751,257.155,1.83,20854.487,3.688,331066.0,3037.56005859375,3.6,47477.0
2019-11-01,212.788,257.879,1.55,20999.688,3.695,331213.0,3140.97998046875,3.6,47638.0
2019-12-01,213.944,258.63,1.55,20999.284,3.72,331345.0,3230.780029296875,3.6,47337.0
2020-01-01,215.029,258.906,1.55,20963.97,3.624,331443.0,3225.52001953125,3.6,47829.0
2020-02-01,215.893,259.246,1.58,21053.865,3.4650000000000003,331525.0,2954.219970703125,3.5,48014.0
2020-03-01,216.455,258.15,0.65,19979.73,3.45,331642.0,2584.590087890625,4.4,47329.0
2020-04-01,216.856,256.126,0.05,18159.952,3.306,331699.0,2912.429931640625,14.8,54327.0
2020-05-01,216.999,255.848,0.05,18958.731,3.2325,331701.0,3044.31005859375,13.2,51566.0
2020-06-01,217.57,257.004,0.08,19988.138,3.1625,331744.0,3100.2900390625,11.0,51350.0
2020-07-01,219.28,258.408,0.09,20314.199,3.016,331811.0,3271.1201171875,10.2,51816.0
2020-08-01,222.265,259.366,0.1,20494.802,2.935,331885.0,3500.31005859375,8.4,49794.0
2020-09-01,225.742,259.951,0.09,20729.832,2.89,331966.0,3363.0,7.8,50029.0
2020-10-01,229.685,260.249,0.09,20812.968,2.834,332041.0,3269.9599609375,6.8,49879.0
2020-11-01,233.248,260.895,0.09,20626.578,2.765,332079.0,3621.6298828125,6.7,49290.0
2020-12-01,236.555,262.005,0.09,20736.566,2.684,332062.0,3756.070068359375,6.7,49407.0
2021-01-01,239.68,262.518,0.09,21024.934,2.735,332007.0,3714.239990234375,6.4,54539.0
2021-02-01,242.419,263.583,0.08,20755.933,2.81,331983.0,3811.14990234375,6.2,50017.0
2021-03-01,245.545,264.91,0.07,21194.873,3.0825,332023.0,3972.889892578125,6.1,61509.0
2021-04-01,249.123,266.752,0.07,21285.227,3.06,332089.0,4181.169921875,6.1,52144.0
2021-05-01,253.413,268.452,0.06,21296.597,2.9625,332161.0,4204.10986328125,5.8,50635.0
2021-06-01,258.23,270.664,0.08,21350.756,2.975,332249.0,4297.5,5.9,50373.0
2021-07-01,262.603,271.994,0.1,21431.913,2.868,332375.0,4395.259765625,5.4,50654.0
2021-08-01,266.593,272.789,0.09,21470.073,2.8425,332506.0,4522.68017578125,5.1,50501.0
2021-09-01,270.197,273.887,0.08,21551.165,2.9,332610.0,4307.5400390625,4.7,49801.0
2021-10-01,273.603,276.434,0.08,21776.451,3.0675,332708.0,4605.3798828125,4.5,49735.0
2021-11-01,277.309,278.799,0.08,21783.542,3.0675,332806.0,4567.0,4.1,49578.0
2021-12-01,281.506,280.808,0.08,21986.886,3.098,332891.0,4766.18017578125,3.9,49321.0
2022-01-01,286.173,282.39,0.08,21767.877,3.4450000000000003,332933.0,4515.5498046875,4.0,48300.0
2022-02-01,291.223,284.535,0.08,21740.981,3.7625,332972.0,4373.93994140625,3.8,48330.0
2022-03-01,296.52299999999997,287.553,0.2,21711.728,4.172,333067.0,4530.41015625,3.6,48123.0
2022-04-01,300.595,288.764,0.33,21687.39,4.9825,333191.0,4131.93017578125,3.7,48148.0
2022-05-01,303.702,291.359,0.77,21712.814,5.2299999999999995,333317.0,4132.14990234375,3.6,48072.0
2022-06-01,304.45599999999996,294.996,1.21,21728.356,5.522,333451.0,3785.3798828125,3.6,47873.0
2022-07-01,303.504,294.977,1.68,21708.488,5.4125,333599.0,4130.2900390625,3.5,48289.0
2022-08-01,301.066,295.209,2.33,21981.145,5.2225,333762.0,3955.0,3.6,48422.0
2022-09-01,299.069,296.341,2.56,21867.888,6.112,333925.0,3585.6201171875,3.5,48469.0
2022-10-01,298.699,297.863,3.08,21905.675,6.9,334071.0,3871.97998046875,3.6,48563.0
2022-11-01,298.402,298.648,3.78,22012.45,6.805,334206.0,4080.110107421875,3.6,48562.0
2022-12-01,297.658,298.812,4.1,22055.911,6.364,334326.0,3839.5,3.5,48650.0
2023-01-01,297.432,300.356,4.33,22129.908,6.2725,334433.0,4076.60009765625,3.4,49642.0
2023-02-01,297.7,301.509,4.57,22106.31,6.2575,334544.0,3970.14990234375,3.6,49787.0
2023-03-01,298.8,301.744,4.65,22104.947,6.544,334664.0,4109.31005859375,3.5,49991.0
2023-04-01,300.297,303.032,4.83,22119.745,6.342499999999999,334792.0,4169.47998046875,3.4,50073.0
2023-05-01,302.476,303.365,5.06,22250.379,6.425,334929.0,4179.830078125,3.7,50215.0
2023-06-01,304.323,304.003,5.08,22310.515,6.714,335080.0,4450.3798828125,3.6,50166.0
2023-07-01,306.44,304.628,5.12,22412.842,6.84,335248.0,4588.9599609375,3.5,50161.0
2023-08-01,308.858,306.187,5.33,22502.076,7.072,335431.0,4507.66015625,3.8,50163.0
2023-09-01,310.968,307.288,5.33,22561.706,7.2,335612.0,4288.0498046875,3.8,50106.0
2023-10-01,312.866,307.531,5.33,22509.894,7.62,335773.0,4193.7998046875,3.8,50093.0
2023-11-01,313.661,308.024,5.33,22686.169,7.442,335925.0,4567.7998046875,3.7,50188.0
2023-12-01,314.381,308.742,5.33,22846.137,6.815,336070.0,4769.830078125,3.7,50255.0
